rspo,id_organ_prowadzacy
53310,133
480622,133
12533,2487
12693,2487
31040,2487
31089,2487
31152,2487
275933,2487
78054,221631
78056,134
81289,134
81290,134
109167,134
128156,134
267642,134
267643,134
272596,272592
272596, 272594
275271,134
275274,272592
275274, 272594
277813,277812
479450,134
105021,135
105022,135
105023,135
105024,135
105025,135
105026,271164
105028,271164
105030,271164
105032,271178
105033,271176
105034,135
106596,271180
266804,266803
478384,135
478385,135
131433,135
479888,479887
23575,2488
34922,2488
34920,2488
40084,136
40085,136
40086,136
40087,136
63453,136
126259,136
126261,136
129880,136
129887,136
132551,136
68396,196205
85787,137
86132,137
270493,267342
42747,138
42876,138
84899,138
23574,2488
34913,2488
34916,2488
40806,2488
23576,2488
111806,2488
111828,2488
26658,270938
40808,270935
52314,139
52324,139
52332,139
52334,139
52345,274659
53204,139
53210,139
53211,139
53212,139
86206,139
86207,139
86212,139
125946,245743
126887,252449
262365,139
262643,245743
266522,245743
268536,139
274658,274657
276302,272560
279341,279338
91071,140
91073,140
106263,140
106261,140
91072,140
91074,140
91091,140
91093,140
71953,141
89342,141
89349,141
84545,141
31463,142
91286,142
91249,142
31496,142
90686,142
6247,269626
17301,143
27233,143
120019,269626
114363,144
114465,144
114469,144
119152,144
119154,144
6122,2489
105340,2489
104823,2489
47127,2489
107070,2489
81313,2489
263254,2489
107074,2489
107073,2489
107071,2489
49372,145
84170,145
84171,265046
84721,480349
84722,265030
85003,264063
86332,145
86333,265033
88488,145
88490,225431
88575,145
104745,2489
104820,225431
104822,272991
105443,225431
113937,260667
118674,2489
104740,2489
121338,2489
79824,2489
276108,2489
121339,2489
120757,273752
121208,225431
121320,196205
121489,274386
121678,2
127700,272991
128109,2489
105334,2489
105335,2489
276109,2489
130696,2489
131630,279465
263024,145
273643,279465
277484,277482
73271,146
73272,146
73529,146
73530,146
90665,146
90695,146
90697,146
127705,250328
81417,147
81418,147
83706,147
107582,265812
107340,265812
106911,265812
7008,148
13151,148
34618,2839
53594,2839
53592,2839
34620,2839
53599,2839
53598,2839
35032,266914
127579,250124
128137,250856
267910,2839
266346,2839
53595,2839
271096,271089
272500,272499
272522,263702
272522, 272512
274478,274477
275257,275256
478544,277807
19833,2490
24088,2490
24086,2490
19834,2490
22643,2490
22647,2490
22646,2490
22648,2490
19835,2490
22640,2490
10342,2490
22642,2490
74261,269733
81007,149
81117,149
81119,149
81504,149
83068,260873
86526,246160
87168,149
87374,149
88419,149
105979,261293
111099,261293
120440,260873
123438,149
127787,2490
20552,2490
22638,2490
131806,149
133194,260873
479853,149
24128,150
25986,150
481328,150
25987,150
267201,150
4411,2491
9510,2491
13140,2491
12245,2491
13149,2491
6018,2491
8011,2491
6021,2491
12309,2491
12313,2491
12776,2491
12321,2491
274737,2491
6024,2491
12297,2491
12305,2491
27300,2491
7968,2491
